left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction
0,0,0,0,0,0,0,52,9,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,13,50,0,0,0,0,0,14,0,0,0,0,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,46,0,0,0,0,0,26,0,0,0,0,0,27,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,55,8,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,35,68,0,0,0,0,0,17,0,0,0,0,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,7,0,0,0,0,16,26,0,0,0,0,0,44,0,0,0,0,0,4,0,0,0,0,0,31,0,0,0,0,0,11,0,0,0,none
0,0,0,0,0,0,0,54,7,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,39,67,0,0,0,0,0,16,0,0,0,0,36,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,7,0,0,0,0,17,26,0,0,0,0,0,44,0,0,0,0,0,4,0,0,0,0,0,31,0,0,0,0,0,10,0,0,0,none
0,0,0,0,0,0,0,53,9,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,44,75,0,0,0,0,0,13,0,0,0,0,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,0,0,0,0,0,12,0,0,0,0,16,26,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,56,8,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,42,71,0,0,0,0,0,15,0,0,0,0,49,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,44,0,0,0,0,0,14,0,0,0,0,13,24,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,57,9,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,42,74,0,0,0,0,0,15,0,0,0,0,45,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,43,0,0,0,0,0,14,0,0,0,0,14,22,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,56,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,41,74,0,0,0,0,0,14,0,0,0,0,47,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,0,0,0,0,0,14,0,0,0,0,14,24,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,60,10,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,36,69,0,0,0,0,0,16,0,0,0,0,33,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,0,0,0,0,0,15,0,0,0,0,14,22,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,61,11,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,27,61,0,0,0,0,0,19,0,0,0,0,18,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,0,0,0,0,0,15,0,0,0,0,14,23,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,63,15,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,18,48,0,0,0,0,0,19,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,16,0,0,0,0,12,22,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,65,10,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,27,70,0,0,0,0,0,12,0,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,15,0,0,0,0,14,24,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,64,12,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,27,69,0,0,0,0,0,12,0,0,0,0,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,46,0,0,0,0,0,15,0,0,0,0,15,24,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,60,12,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,27,69,0,0,0,0,0,12,0,0,0,0,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,46,0,0,0,0,0,15,0,0,0,0,14,24,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,62,10,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,27,69,0,0,0,0,0,12,0,0,0,0,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,46,0,0,0,0,0,15,0,0,0,0,14,24,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,54,0,0,0,0,0,27,19,0,0,0,0,22,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,18,18,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,26,18,0,0,0,0,22,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,17,18,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,25,18,0,0,0,0,22,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,18,18,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
