left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction
0,0,8,0,0,0,0,54,18,0,0,0,0,72,62,0,0,0,0,0,0,16,0,0,0,71,69,0,0,0,0,0,9,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,17,0,0,0,0,48,63,0,0,0,0,0,3,0,0,0,0,0,70,0,0,0,0,0,33,27,0,0,0,0,0,0,0,0,0,0,26,0,0,0,none
0,0,8,0,0,0,0,53,20,0,0,0,0,74,64,0,0,0,0,0,0,19,0,0,0,70,69,0,0,0,0,0,9,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,18,0,0,0,0,45,63,0,0,0,0,0,8,0,0,0,0,0,63,0,0,0,0,0,32,18,0,0,0,0,0,0,0,0,0,0,16,0,0,0,none
0,0,8,0,0,0,0,56,22,0,0,0,0,79,65,0,0,0,0,0,0,13,0,0,0,64,69,0,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,13,0,0,0,0,34,101,29,0,0,0,0,7,0,0,0,0,0,66,0,0,0,0,0,34,38,0,0,0,0,0,0,0,0,0,0,32,0,0,0,none
0,0,6,0,0,0,0,55,22,0,0,0,0,78,65,0,0,0,0,0,0,14,0,0,0,65,69,0,0,0,0,0,5,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,16,0,0,0,0,35,105,32,0,0,0,0,8,0,0,0,0,0,68,0,0,0,0,0,34,37,0,0,0,0,0,0,0,0,0,0,30,0,0,0,none
0,0,9,0,0,0,0,53,19,0,0,0,0,78,65,0,0,0,0,0,0,14,0,0,0,65,68,0,0,0,0,0,5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,14,0,0,0,0,33,106,36,0,0,0,0,11,0,0,0,0,0,68,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,30,0,0,0,none
0,0,10,0,0,0,0,55,20,0,0,0,0,78,64,0,0,0,0,0,0,13,0,0,0,67,68,0,0,0,0,0,5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,14,0,0,0,0,33,106,36,0,0,0,0,10,0,0,0,0,0,69,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,0,0,29,0,0,0,none
0,0,10,0,0,0,0,57,24,0,0,0,0,79,65,0,0,0,0,0,0,13,0,0,0,66,65,0,0,0,0,0,5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,11,0,0,0,0,32,104,34,0,0,0,0,9,0,0,0,0,0,68,0,0,0,0,0,35,38,0,0,0,0,0,0,0,0,0,0,31,0,0,0,none
0,0,7,0,0,0,0,52,20,0,0,0,0,79,65,0,0,0,0,0,0,13,0,0,0,69,69,0,0,0,0,0,6,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,17,0,0,0,0,25,98,29,0,0,0,0,11,3,0,0,0,0,62,0,0,0,0,0,37,49,0,0,0,0,0,0,0,0,0,0,33,0,0,0,none
0,0,0,0,0,0,0,56,23,0,0,0,0,22,40,0,0,0,0,0,3,28,0,0,0,21,42,0,0,0,0,0,10,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,35,0,0,0,0,0,27,25,0,0,0,0,32,0,0,0,0,0,69,131,0,0,0,0,0,0,0,0,0,0,57,0,0,0,none
0,0,0,0,0,0,0,54,22,0,0,0,0,47,49,0,0,0,0,0,0,20,0,0,0,37,51,0,0,0,0,0,8,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,22,4,0,0,0,0,49,0,0,0,0,0,16,15,0,0,0,0,47,0,0,0,0,0,59,109,0,0,0,0,0,0,0,0,0,0,56,0,0,0,none
0,0,5,0,0,0,0,53,21,0,0,0,0,57,56,0,0,0,0,0,0,17,0,0,0,45,57,0,0,0,0,0,7,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,15,0,0,0,0,0,51,0,0,0,0,0,18,17,0,0,0,0,45,0,0,0,0,0,61,113,0,0,0,0,0,0,0,0,0,0,56,0,0,0,none
