left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction,speed
0,0,0,0,0,0,0,29,20,0,0,0,0,26,33,0,0,0,0,0,16,0,0,0,0,64,91,17,0,0,0,0,37,0,0,0,0,41,78,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,21,0,0,0,3,11,35,0,0,0,0,0,34,0,0,0,0,0,5,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,none,0.0
0,0,0,0,0,0,0,31,21,0,0,0,0,27,36,0,0,0,0,0,16,4,0,0,0,66,94,16,0,0,0,0,38,0,0,0,0,45,80,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,20,0,0,0,0,14,35,0,0,0,0,0,33,0,0,0,0,0,4,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,none,0.0
0,0,0,0,0,0,0,11,13,0,0,0,0,56,50,11,0,0,0,0,24,0,0,0,0,37,81,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,62,0,0,0,0,28,40,0,0,0,0,0,36,0,0,0,0,32,33,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,none,0.0
0,0,7,0,0,0,0,9,15,0,0,0,0,57,53,10,0,0,0,0,21,0,0,0,0,19,80,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,59,0,0,0,0,25,36,0,0,0,0,0,33,0,0,0,0,28,32,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,none,0.0
0,0,7,0,0,0,0,9,14,0,0,0,0,60,55,10,0,0,0,0,20,0,0,0,0,23,80,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,60,0,0,0,0,24,34,0,0,0,0,0,33,0,0,0,0,30,33,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,none,0.0
0,0,6,0,0,0,0,9,14,0,0,0,0,61,57,11,0,0,0,0,21,0,0,0,0,22,82,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,61,0,0,0,0,24,35,0,0,0,0,0,34,0,0,0,0,31,32,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,none,0.0
18,6,24,0,0,0,0,16,33,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,59,51,0,0,0,0,0,31,0,0,0,0,30,24,0,0,0,0,0,65,0,0,0,strafe_left,0.5
21,15,25,0,0,0,0,16,33,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,63,54,0,0,0,0,0,32,0,0,0,0,28,25,0,0,0,0,0,63,0,0,0,strafe_left,0.5
21,15,25,0,0,0,0,16,33,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,62,54,0,0,0,0,0,32,0,0,0,0,28,24,0,0,0,0,0,65,0,0,0,strafe_left,0.5
0,42,53,11,0,0,0,27,41,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,52,64,0,0,0,0,0,31,0,0,0,0,50,50,0,0,0,0,0,97,0,0,0,strafe_left,1.0
