left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction,speed
0,0,0,59,72,0,7,0,14,0,0,0,0,0,99,111,6,0,0,0,0,0,0,0,0,0,97,76,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,0,0,62,37,0,0,0,0,0,10,0,0,0,0,64,42,0,0,0,0,0,11,0,0,0,0,0,63,0,0,0,0,0,56,0,0,strafe_left,0.5
0,0,0,59,71,0,8,0,10,0,0,0,0,0,102,112,6,0,0,0,0,0,0,0,0,0,98,77,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,63,39,0,0,0,0,0,12,0,0,0,0,64,42,0,0,0,0,0,11,0,0,0,0,0,65,0,0,0,0,0,51,0,0,strafe_left,0.5
0,0,0,60,74,0,10,0,13,0,0,0,0,0,103,111,7,0,0,0,0,0,0,0,0,0,98,77,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,0,62,41,0,0,0,0,0,9,0,0,0,0,63,42,0,0,0,0,0,11,0,0,0,0,0,63,0,0,0,0,0,54,0,0,strafe_left,0.5
0,0,0,60,75,0,10,0,11,0,0,0,0,0,102,111,4,0,0,0,0,0,0,0,0,0,98,77,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,64,42,0,0,0,0,0,13,0,0,0,0,65,43,0,0,0,0,0,11,0,0,0,0,0,61,0,0,0,0,0,52,0,0,strafe_left,0.5
0,0,0,57,74,0,9,0,13,0,0,0,0,0,98,108,9,0,0,0,0,0,0,0,0,0,100,78,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,64,42,0,0,0,0,0,12,0,0,0,0,66,44,0,0,0,0,0,11,0,0,0,0,0,61,0,0,0,0,0,53,0,0,strafe_left,0.5
0,0,59,157,139,23,8,0,44,30,0,0,0,0,136,150,0,0,0,0,0,0,0,0,0,0,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,74,21,0,0,0,0,0,0,0,0,0,0,11,83,0,0,0,0,0,72,0,0,strafe_left,1.0
0,0,31,128,123,26,18,0,50,44,0,0,0,0,88,119,0,0,0,0,0,0,0,0,0,0,41,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,79,24,0,0,0,0,0,0,0,0,0,0,16,82,0,0,0,0,0,70,0,0,strafe_left,1.0
0,0,22,118,107,16,10,0,43,37,0,0,0,0,81,108,0,0,0,0,0,0,0,0,0,0,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,88,31,0,0,0,0,0,0,0,0,0,0,42,110,0,0,0,0,4,88,0,0,strafe_left,1.0
0,0,58,157,149,38,24,0,51,49,0,0,0,0,119,120,0,0,0,0,0,0,0,0,0,0,43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,76,22,0,0,0,0,0,0,0,0,0,0,29,85,0,0,0,0,0,97,0,0,strafe_left,1.0
0,0,8,77,65,14,42,0,55,45,0,0,0,0,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,75,16,0,0,0,0,0,0,0,0,0,0,20,56,0,0,0,0,0,80,0,0,strafe_left,1.0
